"Service","MonthlyCost"
"Amazon Elastic Compute Cloud - Compute","39388.19"
"Amazon Relational Database Service","26317.89"
"Amazon Simple Storage Service","18410.55"
"EC2 - Other","17112.40"
"Amazon OpenSearch Service","11220.17"
"Amazon ElastiCache","8157.17"
"Amazon Elastic File System","3632.53"
"AmazonCloudWatch","2508.70"
"Amazon QuickSight","1935.25"
"Amazon Virtual Private Cloud","1795.54"
"AWS CloudTrail","1658.90"
"Amazon Elastic Compute Cloud - Compute","1565.94"
"Amazon Elastic Container Service for Kubernetes","1283.78"
"Amazon Detective","1154.65"
"Amazon GuardDuty","1078.84"
"Amazon Q","1064.26"
"AWS Glue","1021.27"
"Amazon Managed Streaming for Apache Kafka","993.92"
"Amazon Relational Database Service","921.03"
"AWS Transfer Family","893.81"
"Amazon Elastic Load Balancing","885.19"
"AWS Security Hub","679.95"
"AWS Config","634.48"
"Amazon Simple Storage Service","619.49"
"EC2 - Other","613.42"
"Tax","434.83"
"AWS Certificate Manager","400"
"Amazon OpenSearch Service","388.21"
"AWS Support (Business)","367.29"
"AWS Secrets Manager","351.29"
"Amazon ElastiCache","281.28"
"Amazon Inspector","242.28"
"Amazon MQ","238.35"
"Amazon Route 53","181.33"
"AWS WAF","165.60"
"Amazon WorkSpaces","146.25"
"Amazon Elastic File System","145.08"
"AWS Directory Service","129.39"
"Amazon Cognito","116.13"
"AWS Key Management Service","97.40"
"Claude Sonnet 4 (Amazon Bedrock Edition)","85.84"
"AmazonCloudWatch","84.72"
"Amazon EC2 Container Registry (ECR)","77.08"
"AWS Lambda","66.62"
"AWS CloudTrail","65.22"
"Amazon QuickSight","63.77"
"Amazon Virtual Private Cloud","63.68"
"Amazon GuardDuty","60.89"
"Claude 3.7 Sonnet (Amazon Bedrock Edition)","54.24"
"AWS Backup","46.13"
"Amazon Elastic Container Service for Kubernetes","45.6"
"AWS Glue","44.73"
"Amazon Detective","43.73"
"Amazon Simple Queue Service","37.27"
"Amazon Q","36.57"
"Amazon Managed Streaming for Apache Kafka","34.01"
"AWS Transfer Family","31.12"
"Amazon Elastic Load Balancing","30.64"
"AWS Security Hub","28.64"
"AWS Config","27.00"
"Amazon Macie","25.31"
"Amazon Route 53","25.00"
"AWS Service Catalog","23.39"
"AWS X-Ray","16.83"
"AWS Amplify","14.50"
"Amazon API Gateway","13.92"
"AWS Secrets Manager","11.98"
"Claude Sonnet 4.5 (Amazon Bedrock Edition)","11.30"
"Claude 3.7 Sonnet (Amazon Bedrock Edition)","10.45"
"Amazon Elastic Container Service","10.14"
"Amazon Managed Grafana","9"
"Amazon MQ","8.20"
"Amazon Inspector","6.36"
"Amazon Cognito","5.82"
"Claude Sonnet 4 (Amazon Bedrock Edition)","5.55"
"AWS WAF","5.53"
"Amazon Lightsail","4.68"
"AWS Directory Service","4.43"
"Amazon CloudFront","4.35"
"AWS Key Management Service","3.20"
"Amazon Bedrock","3.19"
"Amazon Kinesis Firehose","2.83"
"Amazon EC2 Container Registry (ECR)","2.54"
"Amazon Simple Queue Service","1.62"
"Amazon WorkSpaces","1.58"
"AWS Backup","1.55"
"Amazon Simple Notification Service","1.40"
"AWS Payment Cryptography","1.32"
"AWS Cost Explorer","1.02"
"Amazon Macie","0.88"
"Amazon API Gateway","0.72"
"Tax","0.58"
"AWS Amplify","0.48"
"AWS X-Ray","0.45"
"Amazon Elastic Container Service","0.35"
"CloudWatch Events","0.28"
"Amazon DynamoDB","0.23"
"Amazon Lightsail","0.16"
"Amazon AppFlow","0.16"
"AWS Service Catalog","0.11"
"Amazon Kinesis Firehose","0.10"
"AWS Lambda","0.08"
"Amazon Bedrock","0.04"
"AWS Cost Explorer","0.03"
"Amazon Athena","0.02"
"Amazon AppFlow","0.01"
"CloudWatch Events","0.01"
