"Region","VolumeId","VolumeType","SizeGB","State","IOPS","Encrypted","AttachedTo"
"us-east-1","vol-72f16337","gp3","100","in-use","3000","False","i-a12f2a8b"
"us-east-1","vol-e8c4b804","gp3","100","in-use","3000","False","i-be4f7601"
"us-east-1","vol-0abe524a044941b91","gp3","20","in-use","3000","True","i-029c9d615067b36c1"
"us-east-1","vol-76193bde","gp3","50","in-use","3000","False","i-15c46892"
"us-east-1","vol-0d3c148f3dc6b3e6e","gp3","30","in-use","3000","False","i-09305503247b3b2eb"
"us-east-1","vol-eb9db643","gp3","50","in-use","3000","False","i-89f05a0e"
"us-east-1","vol-e5f7450a","gp3","100","in-use","3000","False","i-0f755cb1"
"us-east-1","vol-06c6783e16745168e","gp2","30","available","100","False","Unattached"
"us-east-1","vol-00db2aa47a7d9c778","gp3","100","available","3000","False","Unattached"
"us-east-1","vol-0020d0cd8a81b98b7","gp3","30","in-use","3000","False","i-01008e20280904c67"
"us-east-1","vol-0f938ccf35dd79c13","gp3","30","in-use","3000","False","i-020fc76b27bc2729e"
"us-east-1","vol-045a147e5cefdba2c","gp3","8","in-use","3000","False","i-0159503f72c77e1e5"
"us-east-1","vol-099c77de730069a0d","gp3","50","in-use","3000","False","i-0cf6e6a70c40a6a21"
"us-east-1","vol-09987f51f2e743473","gp3","60","available","3000","False","Unattached"
"us-east-1","vol-012143f44a124ea7b","gp3","60","in-use","3000","False","i-0e67a8be33d600e3c"
"us-east-1","vol-ea1dbcae","gp3","8","in-use","3000","False","i-5b08ffb7"
"us-east-1","vol-09350a5e1189753de","gp3","100","in-use","3000","False","i-043114ca52c5e8164"
"us-east-1","vol-0d17791413ff802ff","gp3","200","in-use","3000","False","i-0b794f52c9e2278b0"
"us-east-1","vol-b7c4c759","gp3","20","in-use","3000","False","i-0d6e0ade"
"us-east-1","vol-129db6ba","gp3","50","in-use","3000","False","i-8af05a0d"
"us-east-1","vol-2cffc863","gp3","20","in-use","3000","False","i-4d83e062"
"us-east-1","vol-8e259a96","gp3","100","in-use","3000","False","i-9ab42e7b"
"us-east-1","vol-9e5c2570","gp3","20","in-use","3000","False","i-19859fc9"
"us-east-1","vol-0f9d2dbae849dc695","gp3","100","in-use","3000","True","i-0c7c653e29bd1b0c4"
"us-east-1","vol-a3cf0343","gp3","20","in-use","3000","False","i-a915407c"
"us-east-1","vol-5971d4b9","gp3","20","in-use","3000","False","i-efc4fb3a"
"us-east-1","vol-077746cc2c9ce90ab","sc1","2048","available",,"False","Unattached"
"us-east-1","vol-01746af0bc322a349","gp3","3000","in-use","9000","True","i-be4f7601"
"us-east-1","vol-0ebd5c9264f39f857","gp2","30","available","100","False","Unattached"
"us-east-1","vol-721b1ebb","gp3","100","in-use","3000","False","i-27e568ce"
"us-east-1","vol-ed0e98a8","gp3","10","in-use","3000","False","i-a409368e"
"us-east-1","vol-0d0629a60b9c638ca","gp3","30","available","3000","False","Unattached"
"us-east-1","vol-00820a573c6962d5e","gp3","10","in-use","3000","True","i-0cf3b307c22a8235f"
"us-east-1","vol-00a75f56cad3430d4","gp2","30","available","100","False","Unattached"
"us-east-1","vol-07d253eb1ff29fc21","gp3","100","in-use","3000","False","i-0e002527a16392fa1"
"us-east-1","vol-96259a8e","gp3","1000","in-use","3000","False","i-9ab42e7b"
"us-east-1","vol-0926790e2e6b79073","gp3","20","available","3000","True","Unattached"
"us-east-1","vol-0c417555ae0e79846","gp3","2000","in-use","6000","False","i-037dd9ecaff681075"
"us-east-1","vol-c7852427","gp3","20","in-use","3000","False","i-8bc9cd5e"
"us-east-1","vol-06b1b51de0a896a05","gp3","6144","in-use","3000","False","i-19859fc9"
"us-east-1","vol-a1bd7969","gp3","100","in-use","3000","False","i-a9752240"
"us-east-1","vol-87f5ffcf","gp3","20","in-use","3000","False","i-85cebc6f"
"us-east-1","vol-0c1162e41668f64ae","sc1","6144","available",,"False","Unattached"
"us-east-1","vol-6ef1632b","gp3","1000","in-use","3000","False","i-a12f2a8b"
"us-east-1","vol-5bc10593","gp3","2000","in-use","6000","False","i-a9752240"
"us-east-1","vol-07cc36afc4bb8ee9f","sc1","3072","available",,"False","Unattached"
"us-east-1","vol-0e261936cf812ce54","gp3","100","in-use","3000","False","i-00823396f38206fdb"
"us-east-1","vol-05bfe000b0fd41867","gp3","20","in-use","3000","False","i-05bc73a0c7e562ce0"
"us-east-1","vol-07b64f7e44e35dcb5","sc1","3072","available",,"False","Unattached"
"us-east-1","vol-02d2292b7df94944a","gp3","100","available","3000","False","Unattached"
"us-east-1","vol-086c01ca4acd41b0c","sc1","3072","available",,"False","Unattached"
"us-east-1","vol-08a6e6ab158fa3ef6","gp3","30","available","3000","False","Unattached"
"us-east-1","vol-0c06bf786015791ce","gp3","100","in-use","3000","False","i-059b953a2e312a39c"
"us-east-1","vol-06caf610234f2415d","gp3","8","in-use","3000","False","i-0eb8bbfffdd2f3ec7"
"us-east-1","vol-04a6455707fddf6d5","gp3","100","in-use","3000","False","i-047dbab75f6716d09"
"us-east-1","vol-dc81fcaa","gp3","100","in-use","3000","False","i-52cfda7c"
"us-east-1","vol-b7cd3257","gp3","100","in-use","3000","False","i-42700397"
"us-east-1","vol-be39dc11","gp3","2048","in-use","6144","False","i-2c7f76f9"
"us-east-1","vol-02b8d11a200f79d63","sc1","3072","available",,"False","Unattached"
"us-east-1","vol-0a322923ffcb5c406","gp3","100","available","3000","True","Unattached"
"us-east-1","vol-5e0d86be","gp3","50","in-use","3000","False","i-fafc372e"
"us-east-1","vol-07c2607c9c9b0cb6c","sc1","3072","available",,"False","Unattached"
"us-east-1","vol-0f204bdda5b774af1","sc1","3072","available",,"False","Unattached"
"us-east-1","vol-046e153a3c66b7e46","gp3","100","in-use","3000","False","i-072f2909dbd9bb9dc"
"us-east-1","vol-0b4cceea9a3ef8d7b","gp3","30","in-use","3000","False","i-00053af887e6eb4d6"
"us-east-1","vol-8a0e98cf","gp3","100","in-use","3000","False","i-a409368e"
"us-east-1","vol-81697f61","gp3","100","in-use","3000","False","i-385dafef"
"us-east-1","vol-9c5c2572","gp3","100","in-use","3000","False","i-9e859f4e"
"us-east-1","vol-59afc1b9","gp3","1000","in-use","3000","False","i-88be045c"
"us-east-1","vol-8ee1335e","gp3","100","in-use","3000","False","i-4c667ad1"
"us-east-1","vol-022e55231d428c4cf","sc1","4096","available",,"False","Unattached"
"us-east-1","vol-0c1863a74f22edc7d","gp3","50","in-use","3000","True","i-07cbd6be0a1c90f79"
"us-east-1","vol-00aedad067ea42874","gp3","2048","in-use","3000","False","i-03969fef458cd4167"
"us-east-1","vol-09f64da8e3bf1ce9f","gp3","100","in-use","3000","True","i-0dbb4653a8cfca4ae"
"us-east-1","vol-08aa3182591b65a18","gp3","200","in-use","3000","False","i-0f33f800c022e418a"
"us-east-1","vol-918ef94d","gp3","1000","in-use","3000","False","i-0f755cb1"
"us-east-1","vol-5652fdb6","gp3","100","in-use","3000","False","i-2c7f76f9"
"us-east-1","vol-0c70448b73f2d8dca","sc1","3072","available",,"False","Unattached"
"us-east-1","vol-72e4d2bb","gp3","20","in-use","3000","False","i-d75fe03e"
"us-east-1","vol-068df5c437cdf9c7b","gp3","100","in-use","3000","False","i-03969fef458cd4167"
"us-east-1","vol-0680d6a6b76debdde","gp3","100","available","3000","False","Unattached"
"us-east-1","vol-440f9901","gp3","300","in-use","3000","False","i-a409368e"
"us-east-1","vol-3fc694a3","gp3","2048","in-use","6144","False","i-88be045c"
"us-east-1","vol-06a7d20eed2f06c38","gp3","8","in-use","3000","False","i-0a086d7d2a4ba25a9"
"us-east-1","vol-09f5796cb7377c942","gp3","6144","in-use","9216","False","i-0d6e0ade"
"us-east-1","vol-059b6d9e0dbc3b20e","gp3","6144","in-use","12288","False","i-d07743c7"
"us-east-1","vol-048499970c2a1c346","gp3","2048","in-use","6144","False","i-01400e7184ad7c200"
"us-east-1","vol-0dd862bcbf4ec2549","gp3","25","in-use","3000","False","i-0003603fb4581513a"
"us-east-1","vol-7eb4b9f0","gp3","6144","in-use","9216","False","i-d75fe03e"
"us-east-1","vol-0e3108f54675e2b82","gp3","100","in-use","3000","True","i-0b8a939d50617cfec"
"us-east-1","vol-023fb44586cb1f20f","gp3","50","available","3000","False","Unattached"
"us-east-1","vol-3b1aeef3","gp3","3000","in-use","9000","False","i-9da1e574"
"us-east-1","vol-0baf647b19bccf1af","gp3","6144","in-use","3000","False","i-5141feb8"
"us-east-1","vol-049359d24a8f2ed9e","gp3","30","available","3000","False","Unattached"
"us-east-1","vol-0bc9844e7c34bb5f0","gp3","100","available","3000","False","Unattached"
"us-east-1","vol-0554febacc86f807a","gp2","30","available","100","False","Unattached"
"us-east-1","vol-03fb82f27882d5be3","gp3","30","in-use","3000","False","i-0bafd0f85880cfc37"
"us-east-1","vol-03ae17594d49d4216","gp3","200","in-use","3000","True","i-000051928735a1912"
"us-east-1","vol-0c2c2c7938629d7fe","gp3","100","in-use","3000","True","i-00866c38318c69753"
"us-east-1","vol-0832bc602052d1392","gp3","2048","in-use","6144","False","i-059b953a2e312a39c"
"us-east-1","vol-08135236cabc40507","gp3","100","available","3000","True","Unattached"
"us-east-1","vol-097bf20f0407e7fd9","gp3","105","in-use","3000","False","i-05bc73a0c7e562ce0"
"us-east-1","vol-0159e4f440dde8be5","gp3","30","available","3000","False","Unattached"
"us-east-1","vol-064bd9f39148de0f6","gp3","6144","in-use","3000","False","i-01008e20280904c67"
