"Region","InstanceId","InstanceType","State","LaunchTime","Platform","PrivateIP","PublicIP"
"us-east-1","i-a409368e","c3.xlarge","stopped","2021-06-04T23:51:24+00:00","Linux","10.0.0.121","52.71.155.107"
"us-east-1","i-a12f2a8b","m3.xlarge","running","2023-09-21T19:46:34+00:00","Linux","10.0.0.40","54.210.71.106"
"us-east-1","i-85cebc6f","m3.medium","running","2025-02-06T19:34:30+00:00","Linux","10.1.1.41","None"
"us-east-1","i-5b08ffb7","t2.micro","running","2017-05-26T16:52:42+00:00","Linux","10.0.0.164","54.165.3.156"
"us-east-1","i-4d83e062","m3.medium","running","2025-09-12T20:41:48+00:00","Linux","10.1.3.26","None"
"us-east-1","i-52cfda7c","c3.xlarge","stopped","2021-10-14T20:18:26+00:00","windows",,"None"
"us-east-1","i-d75fe03e","m4.2xlarge","running","2017-08-10T04:05:04+00:00","Linux","10.1.3.58","None"
"us-east-1","i-5141feb8","m4.large","running","2023-09-13T22:03:57+00:00","Linux","10.1.3.20","None"
"us-east-1","i-27e568ce","c4.large","running","2023-04-19T06:19:49+00:00","Linux","10.1.2.249","52.22.220.12"
"us-east-1","i-9da1e574","m4.xlarge","running","2018-04-11T02:30:49+00:00","Linux","10.1.2.204","34.203.29.146"
"us-east-1","i-a9752240","m3.xlarge","running","2023-09-14T22:04:17+00:00","Linux","10.1.3.194","None"
"us-east-1","i-9ab42e7b","m3.xlarge","running","2023-04-03T15:33:05+00:00","Linux","10.0.2.249","3.85.227.32"
"us-east-1","i-19859fc9","m3.medium","running","2025-12-02T18:21:40+00:00","Linux","10.2.1.102","None"
"us-east-1","i-9e859f4e","t2.micro","running","2017-05-30T16:54:37+00:00","Linux","10.2.0.248","54.83.118.128"
"us-east-1","i-0d6e0ade","m4.2xlarge","running","2022-03-11T22:36:35+00:00","Linux","10.1.1.194","None"
"us-east-1","i-060794d4","m3.medium","running","2023-02-12T17:29:35+00:00","Linux","10.2.1.90","None"
"us-east-1","i-6545ccb0","m4.xlarge","running","2022-04-19T00:11:17+00:00","Linux","10.1.0.192","54.90.102.23"
"us-east-1","i-42700397","m4.large","running","2022-04-20T19:00:31+00:00","Linux","10.2.1.59","None"
"us-east-1","i-a915407c","t2.medium","running","2017-08-10T18:10:57+00:00","Linux","10.2.1.198","None"
"us-east-1","i-efc4fb3a","t2.micro","running","2017-05-26T16:47:46+00:00","Linux","10.2.1.70","None"
"us-east-1","i-8bc9cd5e","c4.large","running","2018-04-11T02:20:30+00:00","Linux","10.1.1.208","None"
"us-east-1","i-d87e770d","c4.4xlarge","running","2022-09-29T19:02:23+00:00","Linux","10.1.1.149","None"
"us-east-1","i-2c7f76f9","c4.4xlarge","running","2022-09-29T18:57:04+00:00","Linux","10.1.1.211","None"
"us-east-1","i-53d3da86","m3.xlarge","running","2023-11-28T02:34:45+00:00","Linux","10.1.1.59","None"
"us-east-1","i-fafc372e","c4.2xlarge","running","2020-09-09T01:42:38+00:00","Linux","10.2.0.25","34.227.202.175"
"us-east-1","i-88be045c","c4.2xlarge","running","2023-12-21T23:07:18+00:00","Linux","10.1.0.37","54.165.47.205"
"us-east-1","i-385dafef","c4.large","running","2024-07-17T02:05:39+00:00","Linux","10.1.0.246","54.173.137.115"
"us-east-1","i-15c46892","t3.medium","running","2023-02-01T02:49:18+00:00","Linux","10.2.1.32","None"
"us-east-1","i-8af05a0d","m3.medium","running","2016-04-20T18:29:10+00:00","Linux","10.1.1.33","None"
"us-east-1","i-89f05a0e","m3.medium","running","2023-09-05T17:58:50+00:00","Linux","10.1.1.150","None"
"us-east-1","i-d07743c7","m3.medium","stopped","2021-04-04T21:31:40+00:00","Linux","10.1.1.11","None"
"us-east-1","i-be4f7601","c4.xlarge","running","2021-08-02T16:44:29+00:00","Linux","10.0.1.183","None"
"us-east-1","i-0f755cb1","c3.xlarge","running","2015-12-01T20:27:30+00:00","Linux","10.0.2.27","54.88.181.235"
"us-east-1","i-4c667ad1","c3.large","running","2024-03-04T18:35:29+00:00","Linux","10.0.1.196","None"
"us-east-1","i-0f4443498033bdbf8","m4.xlarge","running","2021-04-02T22:45:19+00:00","Linux","10.1.2.25","52.3.244.98"
"us-east-1","i-059b953a2e312a39c","c4.4xlarge","running","2022-09-29T18:40:52+00:00","Linux","10.1.3.175","None"
"us-east-1","i-0e002527a16392fa1","m3.medium","stopped","2017-01-18T19:46:52+00:00","Linux","10.1.1.66","None"
"us-east-1","i-01400e7184ad7c200","c4.4xlarge","running","2022-09-29T18:29:09+00:00","Linux","10.1.3.248","None"
"us-east-1","i-037dd9ecaff681075","m4.xlarge","running","2017-05-22T18:37:58+00:00","Linux","10.1.0.70","54.145.169.112"
"us-east-1","i-0159503f72c77e1e5","c4.large","running","2017-09-20T19:28:19+00:00","Linux","10.1.1.207","None"
"us-east-1","i-0eb8bbfffdd2f3ec7","c4.large","stopped","2017-09-21T17:44:01+00:00","Linux","10.1.0.212","None"
"us-east-1","i-05bc73a0c7e562ce0","m3.medium","stopped","2023-01-18T17:17:55+00:00","Linux","10.2.1.66","None"
"us-east-1","i-0d106f55f0dd4fcdc","t2.micro","stopped","2022-09-12T21:31:10+00:00","Linux","10.1.1.249","None"
"us-east-1","i-0478dda6d47023e11","t3.micro","running","2020-11-18T02:27:40+00:00","Linux","10.2.0.112","34.194.100.94"
"us-east-1","i-0cf3b307c22a8235f","t3.small","running","2020-11-29T00:39:10+00:00","Linux","10.1.0.137","34.199.252.71"
"us-east-1","i-0b8a939d50617cfec","c4.large","running","2020-12-16T08:37:48+00:00","Linux","10.1.0.76","34.229.9.238"
"us-east-1","i-0a086d7d2a4ba25a9","t3.small","stopped","2021-03-03T18:55:43+00:00","Linux","10.1.0.126","None"
"us-east-1","i-07cbd6be0a1c90f79","c4.xlarge","running","2020-07-29T21:00:42+00:00","Linux","10.0.0.117","3.213.81.97"
"us-east-1","i-029c9d615067b36c1","t3.large","running","2021-05-03T21:33:35+00:00","Linux","10.0.2.130","54.173.60.246"
"us-east-1","i-0dbb4653a8cfca4ae","c4.xlarge","stopped","2021-06-11T20:16:23+00:00","windows","10.0.2.47","None"
"us-east-1","i-0c7c653e29bd1b0c4","c4.large","running","2021-07-23T18:54:41+00:00","Linux","10.0.2.186","35.172.114.110"
"us-east-1","i-00866c38318c69753","c4.xlarge","running","2021-08-06T19:17:38+00:00","Linux","10.0.1.163","None"
"us-east-1","i-000051928735a1912","m5a.xlarge","running","2021-08-13T19:02:21+00:00","Linux","10.0.2.133","54.209.213.194"
"us-east-1","i-0003603fb4581513a","t4g.large","stopped","2021-08-02T23:22:11+00:00","Linux","10.1.0.10","None"
"us-east-1","i-03969fef458cd4167","c4.2xlarge","running","2023-06-16T22:28:37+00:00","Linux","10.1.3.198","None"
"us-east-1","i-060098e5e6b5ad472","t2.medium","stopped","2022-11-25T16:26:29+00:00","windows","10.2.2.235","None"
"us-east-1","i-0b794f52c9e2278b0","c4.xlarge","running","2025-05-28T20:47:22+00:00","windows","10.1.3.238","100.25.215.17"
"us-east-1","i-072f2909dbd9bb9dc","c4.xlarge","running","2022-04-13T19:47:00+00:00","Linux","10.2.1.157","None"
"us-east-1","i-043114ca52c5e8164","c4.4xlarge","running","2022-10-18T15:13:59+00:00","Linux","10.1.1.63","None"
"us-east-1","i-0f33f800c022e418a","c3.xlarge","running","2025-05-28T20:48:12+00:00","windows","10.1.1.184","34.233.126.95"
"us-east-1","i-047dbab75f6716d09","t2.medium","stopped","2022-11-25T16:19:35+00:00","windows","10.2.1.168","None"
"us-east-1","i-0490009a252a79db0","t3a.medium","stopped","2024-04-29T15:22:43+00:00","Linux","10.2.0.243","None"
"us-east-1","i-01008e20280904c67","r5a.large","running","2024-05-06T20:18:24+00:00","Linux","10.1.1.224","None"
"us-east-1","i-0bafd0f85880cfc37","t3.medium","running","2023-10-23T21:19:24+00:00","Linux","10.1.1.135","None"
"us-east-1","i-0c1358c5d58d9527a","t2.medium","running","2023-10-31T17:32:35+00:00","Linux","10.1.3.25","None"
"us-east-1","i-020fc76b27bc2729e","t3.medium","running","2024-02-02T18:01:13+00:00","windows","10.2.1.246","None"
"us-east-1","i-00053af887e6eb4d6","t2.micro","running","2024-02-08T09:24:46+00:00","windows","10.2.1.226","None"
"us-east-1","i-09305503247b3b2eb","t3.medium","stopped","2024-02-27T23:12:18+00:00","windows","10.2.0.201","None"
"us-east-1","i-0e67a8be33d600e3c","m7i-flex.xlarge","stopped","2024-02-29T15:03:07+00:00","windows","10.2.0.188","None"
"us-east-1","i-0cf6e6a70c40a6a21","m3.medium","stopped","2024-05-13T21:57:59+00:00","Linux","10.2.1.197","None"
"us-east-1","i-09abb9e2cfa017272","t2.medium","running","2024-11-05T18:58:10+00:00","windows","10.2.1.146","107.20.31.185"
"us-east-1","i-00823396f38206fdb","t2.medium","running","2025-10-31T18:01:53+00:00","windows","10.2.2.119","54.160.84.106"
"us-east-2","i-09c5f37643e036865","t2.large","stopped","2023-05-23T19:36:29+00:00","Linux","10.120.0.188","None"
"us-east-2","i-05e80ed206905b62f","t2.large","stopped","2023-01-17T23:34:18+00:00","Linux","10.120.3.24","None"
"us-east-2","i-0a4890503b8ec083b","t2.micro","stopped","2023-09-14T22:00:41+00:00","Linux","10.121.0.70","3.13.71.89"
"us-east-2","i-02904074725f14fa6","t3.medium","stopped","2023-10-20T18:35:24+00:00","Linux","10.120.1.67","None"
"us-west-1","i-015d864871acc6280","m3.large","running","2022-10-18T18:48:42+00:00","Linux","192.168.0.132","54.177.56.90"
"us-west-1","i-0cd3b6aaf9dadb07d","m3.large","stopped","2022-10-18T18:46:07+00:00","Linux","192.168.0.50","None"
"us-west-2","i-09ccc6ac0b3f0339a","t2.medium","running","2022-04-07T18:28:20+00:00","windows","10.33.5.64","34.221.149.136"
