"Region","ClusterId","NodeType","Engine","EngineVersion","NumNodes","Status"
"us-east-1","production-a-redis","cache.m4.large","redis","7.0.7","1","available"
"us-east-1","production-a-redis-p","cache.m4.large","redis","7.0.7","1","available"
"us-east-1","production-c-redis","cache.m4.large","redis","7.0.7","1","available"
"us-east-1","production-c-redis-p","cache.m4.large","redis","7.0.7","1","available"
"us-east-1","production-memcache-cluster","cache.r6g.large","memcached","1.6.17","2","available"
"us-east-1","staging-a-redis","cache.t3.small","redis","7.0.7","1","available"
"us-east-1","staging-a-redis-p","cache.t3.small","redis","7.0.7","1","available"
"us-east-1","staging-cache","cache.r6g.large","memcached","1.5.16","1","available"
"us-east-1","staging-c-redis-p","cache.t3.small","redis","7.0.7","1","available"
"us-east-1","staging-memcache-cluster","cache.t4g.medium","memcached","1.6.17","1","available"
"us-east-1","staging-redis","cache.t3.small","redis","7.0.7","1","available"
"us-west-2","location-redis","cache.r5.large","redis","7.0.7","1","available"
"us-west-2","production-redis","cache.r5.large","redis","7.0.7","1","available"
"us-west-2","production-replica","cache.r5.large","redis","7.0.7","1","available"
"us-west-2","staging-redis","cache.r5.large","redis","7.0.7","1","available"
"us-west-2","staging-replica","cache.r5.large","redis","7.0.7","1","available"
