"AccountId","AccountName","Region","VolumeId","VolumeType","SizeGB","State","IOPS","Throughput","Encrypted","SnapshotId","CreateTime","AttachedInstanceId","Device","AttachmentState","Name","MonthlyCost"
"729265419250","SRSAWS","us-east-2","vol-0793b3e9a677bbb5e","gp2","80","available","240","N/A","False","N/A","2019-01-22T20:16:29.118000+00:00","Unattached","N/A","N/A","N/A","8"
"729265419250","SRSAWS","us-west-1","vol-0a4d0ec1961f7f989","gp2","8","in-use","100","N/A","False","snap-006c209178ab53b33","2018-04-25T16:23:11.491000+00:00","i-01234a878f4ed2e71","/dev/sda1","attached","N/A","0.8"
"729265419250","SRSAWS","us-west-1","vol-0b9fda41f557923f9","gp2","8","in-use","100","N/A","False","snap-0a2465ce0240b73ab","2018-01-17T20:57:06.879000+00:00","i-0709bdc24a9518c58","/dev/sda1","attached","N/A","0.8"
"729265419250","SRSAWS","us-west-1","vol-0baf9e8bf9f8d25be","gp2","30","in-use","100","N/A","False","snap-0cf9c6a39121416ed","2017-10-20T20:39:45.904000+00:00","i-0912f0b6e70aebaa5","/dev/sda1","attached","N/A","3"
"729265419250","SRSAWS","us-west-1","vol-03558366524155450","gp2","8","in-use","100","N/A","False","snap-0005c997ea535c580","2018-08-17T16:58:51.664000+00:00","i-0ab19da1e308e97c4","/dev/sda1","attached","N/A","0.8"
"729265419250","SRSAWS","us-west-1","vol-0d561af2274dfba34","gp2","30","in-use","100","N/A","False","snap-07fe107eddadc9ff0","2018-08-17T18:10:43.846000+00:00","i-08d2420ed6f263faf","/dev/sda1","attached","N/A","3"
"729265419250","SRSAWS","us-west-1","vol-041ce9b4d554e2413","gp2","80","in-use","240","N/A","False","snap-0e8348c84ea8b08da","2018-03-12T20:13:47.501000+00:00","i-089786e12ea93e550","/dev/sda1","attached","N/A","8"
"015815251546","Production Account","us-east-2","vol-0793b3e9a677bbb5e","gp2","80","available","240","N/A","False","N/A","2019-01-22T20:16:29.118000+00:00","Unattached","N/A","N/A","N/A","8"
"015815251546","Production Account","us-west-1","vol-0a4d0ec1961f7f989","gp2","8","in-use","100","N/A","False","snap-006c209178ab53b33","2018-04-25T16:23:11.491000+00:00","i-01234a878f4ed2e71","/dev/sda1","attached","N/A","0.8"
"015815251546","Production Account","us-west-1","vol-0b9fda41f557923f9","gp2","8","in-use","100","N/A","False","snap-0a2465ce0240b73ab","2018-01-17T20:57:06.879000+00:00","i-0709bdc24a9518c58","/dev/sda1","attached","N/A","0.8"
"015815251546","Production Account","us-west-1","vol-0baf9e8bf9f8d25be","gp2","30","in-use","100","N/A","False","snap-0cf9c6a39121416ed","2017-10-20T20:39:45.904000+00:00","i-0912f0b6e70aebaa5","/dev/sda1","attached","N/A","3"
"015815251546","Production Account","us-west-1","vol-03558366524155450","gp2","8","in-use","100","N/A","False","snap-0005c997ea535c580","2018-08-17T16:58:51.664000+00:00","i-0ab19da1e308e97c4","/dev/sda1","attached","N/A","0.8"
"015815251546","Production Account","us-west-1","vol-0d561af2274dfba34","gp2","30","in-use","100","N/A","False","snap-07fe107eddadc9ff0","2018-08-17T18:10:43.846000+00:00","i-08d2420ed6f263faf","/dev/sda1","attached","N/A","3"
"015815251546","Production Account","us-west-1","vol-041ce9b4d554e2413","gp2","80","in-use","240","N/A","False","snap-0e8348c84ea8b08da","2018-03-12T20:13:47.501000+00:00","i-089786e12ea93e550","/dev/sda1","attached","N/A","8"
"163799539090","Stage Account","us-east-2","vol-0793b3e9a677bbb5e","gp2","80","available","240","N/A","False","N/A","2019-01-22T20:16:29.118000+00:00","Unattached","N/A","N/A","N/A","8"
"163799539090","Stage Account","us-west-1","vol-0a4d0ec1961f7f989","gp2","8","in-use","100","N/A","False","snap-006c209178ab53b33","2018-04-25T16:23:11.491000+00:00","i-01234a878f4ed2e71","/dev/sda1","attached","N/A","0.8"
"163799539090","Stage Account","us-west-1","vol-0b9fda41f557923f9","gp2","8","in-use","100","N/A","False","snap-0a2465ce0240b73ab","2018-01-17T20:57:06.879000+00:00","i-0709bdc24a9518c58","/dev/sda1","attached","N/A","0.8"
"163799539090","Stage Account","us-west-1","vol-0baf9e8bf9f8d25be","gp2","30","in-use","100","N/A","False","snap-0cf9c6a39121416ed","2017-10-20T20:39:45.904000+00:00","i-0912f0b6e70aebaa5","/dev/sda1","attached","N/A","3"
"163799539090","Stage Account","us-west-1","vol-03558366524155450","gp2","8","in-use","100","N/A","False","snap-0005c997ea535c580","2018-08-17T16:58:51.664000+00:00","i-0ab19da1e308e97c4","/dev/sda1","attached","N/A","0.8"
"163799539090","Stage Account","us-west-1","vol-0d561af2274dfba34","gp2","30","in-use","100","N/A","False","snap-07fe107eddadc9ff0","2018-08-17T18:10:43.846000+00:00","i-08d2420ed6f263faf","/dev/sda1","attached","N/A","3"
"163799539090","Stage Account","us-west-1","vol-041ce9b4d554e2413","gp2","80","in-use","240","N/A","False","snap-0e8348c84ea8b08da","2018-03-12T20:13:47.501000+00:00","i-089786e12ea93e550","/dev/sda1","attached","N/A","8"
"508093650048","QA Account","us-east-2","vol-0793b3e9a677bbb5e","gp2","80","available","240","N/A","False","N/A","2019-01-22T20:16:29.118000+00:00","Unattached","N/A","N/A","N/A","8"
"508093650048","QA Account","us-west-1","vol-0a4d0ec1961f7f989","gp2","8","in-use","100","N/A","False","snap-006c209178ab53b33","2018-04-25T16:23:11.491000+00:00","i-01234a878f4ed2e71","/dev/sda1","attached","N/A","0.8"
"508093650048","QA Account","us-west-1","vol-0b9fda41f557923f9","gp2","8","in-use","100","N/A","False","snap-0a2465ce0240b73ab","2018-01-17T20:57:06.879000+00:00","i-0709bdc24a9518c58","/dev/sda1","attached","N/A","0.8"
"508093650048","QA Account","us-west-1","vol-0baf9e8bf9f8d25be","gp2","30","in-use","100","N/A","False","snap-0cf9c6a39121416ed","2017-10-20T20:39:45.904000+00:00","i-0912f0b6e70aebaa5","/dev/sda1","attached","N/A","3"
"508093650048","QA Account","us-west-1","vol-03558366524155450","gp2","8","in-use","100","N/A","False","snap-0005c997ea535c580","2018-08-17T16:58:51.664000+00:00","i-0ab19da1e308e97c4","/dev/sda1","attached","N/A","0.8"
"508093650048","QA Account","us-west-1","vol-0d561af2274dfba34","gp2","30","in-use","100","N/A","False","snap-07fe107eddadc9ff0","2018-08-17T18:10:43.846000+00:00","i-08d2420ed6f263faf","/dev/sda1","attached","N/A","3"
"508093650048","QA Account","us-west-1","vol-041ce9b4d554e2413","gp2","80","in-use","240","N/A","False","snap-0e8348c84ea8b08da","2018-03-12T20:13:47.501000+00:00","i-089786e12ea93e550","/dev/sda1","attached","N/A","8"
"013612877090","AWS Development","us-east-2","vol-0793b3e9a677bbb5e","gp2","80","available","240","N/A","False","N/A","2019-01-22T20:16:29.118000+00:00","Unattached","N/A","N/A","N/A","8"
"013612877090","AWS Development","us-west-1","vol-0a4d0ec1961f7f989","gp2","8","in-use","100","N/A","False","snap-006c209178ab53b33","2018-04-25T16:23:11.491000+00:00","i-01234a878f4ed2e71","/dev/sda1","attached","N/A","0.8"
"013612877090","AWS Development","us-west-1","vol-0b9fda41f557923f9","gp2","8","in-use","100","N/A","False","snap-0a2465ce0240b73ab","2018-01-17T20:57:06.879000+00:00","i-0709bdc24a9518c58","/dev/sda1","attached","N/A","0.8"
"013612877090","AWS Development","us-west-1","vol-0baf9e8bf9f8d25be","gp2","30","in-use","100","N/A","False","snap-0cf9c6a39121416ed","2017-10-20T20:39:45.904000+00:00","i-0912f0b6e70aebaa5","/dev/sda1","attached","N/A","3"
"013612877090","AWS Development","us-west-1","vol-03558366524155450","gp2","8","in-use","100","N/A","False","snap-0005c997ea535c580","2018-08-17T16:58:51.664000+00:00","i-0ab19da1e308e97c4","/dev/sda1","attached","N/A","0.8"
"013612877090","AWS Development","us-west-1","vol-0d561af2274dfba34","gp2","30","in-use","100","N/A","False","snap-07fe107eddadc9ff0","2018-08-17T18:10:43.846000+00:00","i-08d2420ed6f263faf","/dev/sda1","attached","N/A","3"
"013612877090","AWS Development","us-west-1","vol-041ce9b4d554e2413","gp2","80","in-use","240","N/A","False","snap-0e8348c84ea8b08da","2018-03-12T20:13:47.501000+00:00","i-089786e12ea93e550","/dev/sda1","attached","N/A","8"
"193650285903","Backup Account","us-east-2","vol-0793b3e9a677bbb5e","gp2","80","available","240","N/A","False","N/A","2019-01-22T20:16:29.118000+00:00","Unattached","N/A","N/A","N/A","8"
"193650285903","Backup Account","us-west-1","vol-0a4d0ec1961f7f989","gp2","8","in-use","100","N/A","False","snap-006c209178ab53b33","2018-04-25T16:23:11.491000+00:00","i-01234a878f4ed2e71","/dev/sda1","attached","N/A","0.8"
"193650285903","Backup Account","us-west-1","vol-0b9fda41f557923f9","gp2","8","in-use","100","N/A","False","snap-0a2465ce0240b73ab","2018-01-17T20:57:06.879000+00:00","i-0709bdc24a9518c58","/dev/sda1","attached","N/A","0.8"
"193650285903","Backup Account","us-west-1","vol-0baf9e8bf9f8d25be","gp2","30","in-use","100","N/A","False","snap-0cf9c6a39121416ed","2017-10-20T20:39:45.904000+00:00","i-0912f0b6e70aebaa5","/dev/sda1","attached","N/A","3"
