"VolumeId","Type","VolumeType","SizeGB","State","Encrypted","AttachedTo","Region","Environment"
"vol-72f16337","EBS","gp3","100","in-use","False","i-a12f2a8b","us-east-1","Production"
"vol-e8c4b804","EBS","gp3","100","in-use","False","i-be4f7601","us-east-1","Production"
"vol-0abe524a044941b91","EBS","gp3","20","in-use","True","i-029c9d615067b36c1","us-east-1","Production"
"vol-eb9db643","EBS","gp3","50","in-use","False","i-89f05a0e","us-east-1","Production"
"vol-e5f7450a","EBS","gp3","100","in-use","False","i-0f755cb1","us-east-1","Production"
"vol-0020d0cd8a81b98b7","EBS","gp3","30","in-use","False","i-01008e20280904c67","us-east-1","Production"
"vol-045a147e5cefdba2c","EBS","gp3","8","in-use","False","i-0159503f72c77e1e5","us-east-1","Production"
"vol-ea1dbcae","EBS","gp3","8","in-use","False","i-5b08ffb7","us-east-1","Production"
"vol-09350a5e1189753de","EBS","gp3","100","in-use","False","i-043114ca52c5e8164","us-east-1","Production"
"vol-0d17791413ff802ff","EBS","gp3","200","in-use","False","i-0b794f52c9e2278b0","us-east-1","Production"
"vol-b7c4c759","EBS","gp3","20","in-use","False","i-0d6e0ade","us-east-1","Production"
"vol-129db6ba","EBS","gp3","50","in-use","False","i-8af05a0d","us-east-1","Production"
"vol-2cffc863","EBS","gp3","20","in-use","False","i-4d83e062","us-east-1","Production"
"vol-8e259a96","EBS","gp3","100","in-use","False","i-9ab42e7b","us-east-1","Production"
"vol-0f9d2dbae849dc695","EBS","gp3","100","in-use","True","i-0c7c653e29bd1b0c4","us-east-1","Production"
"vol-01746af0bc322a349","EBS","gp3","3000","in-use","True","i-be4f7601","us-east-1","Production"
"vol-721b1ebb","EBS","gp3","100","in-use","False","i-27e568ce","us-east-1","Production"
"vol-ed0e98a8","EBS","gp3","10","in-use","False","i-a409368e","us-east-1","Production"
"vol-00820a573c6962d5e","EBS","gp3","10","in-use","True","i-0cf3b307c22a8235f","us-east-1","Production"
"vol-07d253eb1ff29fc21","EBS","gp3","100","in-use","False","i-0e002527a16392fa1","us-east-1","Production"
"vol-96259a8e","EBS","gp3","1000","in-use","False","i-9ab42e7b","us-east-1","Production"
"vol-0c417555ae0e79846","EBS","gp3","2000","in-use","False","i-037dd9ecaff681075","us-east-1","Production"
"vol-c7852427","EBS","gp3","20","in-use","False","i-8bc9cd5e","us-east-1","Production"
"vol-a1bd7969","EBS","gp3","100","in-use","False","i-a9752240","us-east-1","Production"
"vol-87f5ffcf","EBS","gp3","20","in-use","False","i-85cebc6f","us-east-1","Production"
"vol-6ef1632b","EBS","gp3","1000","in-use","False","i-a12f2a8b","us-east-1","Production"
"vol-5bc10593","EBS","gp3","2000","in-use","False","i-a9752240","us-east-1","Production"
"vol-0c06bf786015791ce","EBS","gp3","100","in-use","False","i-059b953a2e312a39c","us-east-1","Production"
"vol-06caf610234f2415d","EBS","gp3","8","in-use","False","i-0eb8bbfffdd2f3ec7","us-east-1","Production"
"vol-be39dc11","EBS","gp3","2048","in-use","False","i-2c7f76f9","us-east-1","Production"
"vol-8a0e98cf","EBS","gp3","100","in-use","False","i-a409368e","us-east-1","Production"
"vol-81697f61","EBS","gp3","100","in-use","False","i-385dafef","us-east-1","Production"
"vol-59afc1b9","EBS","gp3","1000","in-use","False","i-88be045c","us-east-1","Production"
"vol-8ee1335e","EBS","gp3","100","in-use","False","i-4c667ad1","us-east-1","Production"
"vol-0c1863a74f22edc7d","EBS","gp3","50","in-use","True","i-07cbd6be0a1c90f79","us-east-1","Production"
"vol-00aedad067ea42874","EBS","gp3","2048","in-use","False","i-03969fef458cd4167","us-east-1","Production"
"vol-09f64da8e3bf1ce9f","EBS","gp3","100","in-use","True","i-0dbb4653a8cfca4ae","us-east-1","Production"
"vol-08aa3182591b65a18","EBS","gp3","200","in-use","False","i-0f33f800c022e418a","us-east-1","Production"
"vol-918ef94d","EBS","gp3","1000","in-use","False","i-0f755cb1","us-east-1","Production"
"vol-5652fdb6","EBS","gp3","100","in-use","False","i-2c7f76f9","us-east-1","Production"
"vol-72e4d2bb","EBS","gp3","20","in-use","False","i-d75fe03e","us-east-1","Production"
"vol-068df5c437cdf9c7b","EBS","gp3","100","in-use","False","i-03969fef458cd4167","us-east-1","Production"
"vol-440f9901","EBS","gp3","300","in-use","False","i-a409368e","us-east-1","Production"
"vol-3fc694a3","EBS","gp3","2048","in-use","False","i-88be045c","us-east-1","Production"
"vol-06a7d20eed2f06c38","EBS","gp3","8","in-use","False","i-0a086d7d2a4ba25a9","us-east-1","Production"
"vol-09f5796cb7377c942","EBS","gp3","6144","in-use","False","i-0d6e0ade","us-east-1","Production"
"vol-059b6d9e0dbc3b20e","EBS","gp3","6144","in-use","False","i-d07743c7","us-east-1","Production"
"vol-048499970c2a1c346","EBS","gp3","2048","in-use","False","i-01400e7184ad7c200","us-east-1","Production"
"vol-0dd862bcbf4ec2549","EBS","gp3","25","in-use","False","i-0003603fb4581513a","us-east-1","Production"
"vol-7eb4b9f0","EBS","gp3","6144","in-use","False","i-d75fe03e","us-east-1","Production"
"vol-0e3108f54675e2b82","EBS","gp3","100","in-use","True","i-0b8a939d50617cfec","us-east-1","Production"
"vol-3b1aeef3","EBS","gp3","3000","in-use","False","i-9da1e574","us-east-1","Production"
"vol-0baf647b19bccf1af","EBS","gp3","6144","in-use","False","i-5141feb8","us-east-1","Production"
"vol-03fb82f27882d5be3","EBS","gp3","30","in-use","False","i-0bafd0f85880cfc37","us-east-1","Production"
"vol-03ae17594d49d4216","EBS","gp3","200","in-use","True","i-000051928735a1912","us-east-1","Production"
"vol-0c2c2c7938629d7fe","EBS","gp3","100","in-use","True","i-00866c38318c69753","us-east-1","Production"
"vol-0832bc602052d1392","EBS","gp3","2048","in-use","False","i-059b953a2e312a39c","us-east-1","Production"
"vol-064bd9f39148de0f6","EBS","gp3","6144","in-use","False","i-01008e20280904c67","us-east-1","Production"
"vol-03d800afea33a9caf","EBS","gp3","20","in-use","False","i-0c1358c5d58d9527a","us-east-1","Production"
"vol-0492c454b8b4ab619","EBS","gp3","100","in-use","False","i-01400e7184ad7c200","us-east-1","Production"
"vol-ae374502","EBS","gp3","20","in-use","False","i-d07743c7","us-east-1","Production"
"vol-9ad6787a","EBS","gp3","2000","in-use","False","i-53d3da86","us-east-1","Production"
"vol-0bd416004da427a74","EBS","gp3","3000","in-use","False","i-0f4443498033bdbf8","us-east-1","Production"
"vol-0a29d0328c5f5b457","EBS","gp3","2048","in-use","False","i-043114ca52c5e8164","us-east-1","Production"
"vol-0564a0474f61bac91","EBS","gp3","8","in-use","False","i-0d106f55f0dd4fcdc","us-east-1","Production"
"vol-89ec0d69","EBS","gp3","2000","in-use","False","i-6545ccb0","us-east-1","Production"
"vol-2e52fdce","EBS","gp3","100","in-use","False","i-d87e770d","us-east-1","Production"
"vol-e5d8ee2c","EBS","gp3","20","in-use","False","i-5141feb8","us-east-1","Production"
"vol-08e78e57b101edb81","EBS","gp3","6144","in-use","False","i-0c1358c5d58d9527a","us-east-1","Production"
"vol-0e381b8867cfb5ed8","EBS","gp3","6144","in-use","False","i-0bafd0f85880cfc37","us-east-1","Production"
"vol-bb39dc14","EBS","gp3","2048","in-use","False","i-d87e770d","us-east-1","Production"
"vol-4113bca1","EBS","gp3","100","in-use","False","i-53d3da86","us-east-1","Production"
