"InstanceId","Type","InstanceType","State","Platform","PrivateIP","PublicIP","Region","LaunchTime","Application","Environment"
"i-a409368e","EC2","c3.xlarge","stopped","Linux","10.0.0.121","52.71.155.107","us-east-1","2021-06-04T23:51:24+00:00","General/Unknown","Production"
"i-a12f2a8b","EC2","m3.xlarge","running","Linux","10.0.0.40","54.210.71.106","us-east-1","2023-09-21T19:46:34+00:00","General/Unknown","Production"
"i-85cebc6f","EC2","m3.medium","running","Linux","10.1.1.41","None","us-east-1","2025-02-06T19:34:30+00:00","General/Unknown","Production"
"i-5b08ffb7","EC2","t2.micro","running","Linux","10.0.0.164","54.165.3.156","us-east-1","2017-05-26T16:52:42+00:00","General/Unknown","Production"
"i-4d83e062","EC2","m3.medium","running","Linux","10.1.3.26","None","us-east-1","2025-09-12T20:41:48+00:00","General/Unknown","Production"
"i-d75fe03e","EC2","m4.2xlarge","running","Linux","10.1.3.58","None","us-east-1","2017-08-10T04:05:04+00:00","General/Unknown","Production"
"i-5141feb8","EC2","m4.large","running","Linux","10.1.3.20","None","us-east-1","2023-09-13T22:03:57+00:00","General/Unknown","Production"
"i-27e568ce","EC2","c4.large","running","Linux","10.1.2.249","52.22.220.12","us-east-1","2023-04-19T06:19:49+00:00","General/Unknown","Production"
"i-9da1e574","EC2","m4.xlarge","running","Linux","10.1.2.204","34.203.29.146","us-east-1","2018-04-11T02:30:49+00:00","General/Unknown","Production"
"i-a9752240","EC2","m3.xlarge","running","Linux","10.1.3.194","None","us-east-1","2023-09-14T22:04:17+00:00","General/Unknown","Production"
"i-9ab42e7b","EC2","m3.xlarge","running","Linux","10.0.2.249","3.85.227.32","us-east-1","2023-04-03T15:33:05+00:00","General/Unknown","Production"
"i-0d6e0ade","EC2","m4.2xlarge","running","Linux","10.1.1.194","None","us-east-1","2022-03-11T22:36:35+00:00","General/Unknown","Production"
"i-6545ccb0","EC2","m4.xlarge","running","Linux","10.1.0.192","54.90.102.23","us-east-1","2022-04-19T00:11:17+00:00","General/Unknown","Production"
"i-8bc9cd5e","EC2","c4.large","running","Linux","10.1.1.208","None","us-east-1","2018-04-11T02:20:30+00:00","General/Unknown","Production"
"i-d87e770d","EC2","c4.4xlarge","running","Linux","10.1.1.149","None","us-east-1","2022-09-29T19:02:23+00:00","General/Unknown","Production"
