"BucketName","Region","CreationDate","SizeGB","EstimatedMonthlyCost"
"srs.logzio","us-west-1","2025-11-08T00:52:39+00:00","444.97","10.23"
"srsa.archived.g-suite.users","us-east-1","2025-11-06T00:25:15+00:00","139.31","3.20"
"srsa-billing-report","us-east-1","2025-11-05T21:38:38+00:00","139.18","3.20"
"srs-failed-events","us-east-1","2025-11-06T00:24:32+00:00","11.81","0.27"
"aws-cloudtrail-logs-729265419250-1ca8017f","us-west-2","2024-11-12T07:45:35+00:00","9.07","0.21"
"srsawsaccessloggingeast1","us-east-1","2025-11-05T10:25:47+00:00","2.29","0.05"
"indiacontractors","us-east-1","2025-11-05T21:34:11+00:00","1.95","0.04"
"srsawsaccessloggingwest1","us-west-2","2025-11-04T03:54:05+00:00","0.06","0.00"
"config-bucket-729265419250","us-west-2","2025-11-04T02:20:24+00:00","0.05","0.00"
"bulk-policy-migration-729265419250","us-east-1","2025-07-28T15:24:33+00:00","0.00","0.00"
"srsaathena","us-west-1","2024-11-13T20:46:33+00:00","0.00","0.00"
"cf-templates-xi2vgjeb3chb-us-west-2","us-west-2","2025-11-07T19:08:05+00:00","0.00","0.00"
"srsa.archived.legal-hold.g-suite.users","us-east-1","2025-11-05T20:14:11+00:00","0","0.00"
