"InstanceId","Type","InstanceType","State","Platform","PrivateIP","PublicIP","Region","LaunchTime","Application","Environment"
"i-19859fc9","EC2","m3.medium","running","Linux","10.2.1.102","None","us-east-1","2025-12-02T18:21:40+00:00","General/Unknown","Staging"
"i-9e859f4e","EC2","t2.micro","running","Linux","10.2.0.248","54.83.118.128","us-east-1","2017-05-30T16:54:37+00:00","General/Unknown","Staging"
"i-060794d4","EC2","m3.medium","running","Linux","10.2.1.90","None","us-east-1","2023-02-12T17:29:35+00:00","General/Unknown","Staging"
"i-42700397","EC2","m4.large","running","Linux","10.2.1.59","None","us-east-1","2022-04-20T19:00:31+00:00","General/Unknown","Staging"
"i-a915407c","EC2","t2.medium","running","Linux","10.2.1.198","None","us-east-1","2017-08-10T18:10:57+00:00","General/Unknown","Staging"
"i-efc4fb3a","EC2","t2.micro","running","Linux","10.2.1.70","None","us-east-1","2017-05-26T16:47:46+00:00","General/Unknown","Staging"
"i-fafc372e","EC2","c4.2xlarge","running","Linux","10.2.0.25","34.227.202.175","us-east-1","2020-09-09T01:42:38+00:00","General/Unknown","Staging"
"i-15c46892","EC2","t3.medium","running","Linux","10.2.1.32","None","us-east-1","2023-02-01T02:49:18+00:00","General/Unknown","Staging"
"i-05bc73a0c7e562ce0","EC2","m3.medium","stopped","Linux","10.2.1.66","None","us-east-1","2023-01-18T17:17:55+00:00","General/Unknown","Staging"
"i-0478dda6d47023e11","EC2","t3.micro","running","Linux","10.2.0.112","34.194.100.94","us-east-1","2020-11-18T02:27:40+00:00","General/Unknown","Staging"
"i-060098e5e6b5ad472","EC2","t2.medium","stopped","windows","10.2.2.235","None","us-east-1","2022-11-25T16:26:29+00:00","General/Unknown","Staging"
"i-072f2909dbd9bb9dc","EC2","c4.xlarge","running","Linux","10.2.1.157","None","us-east-1","2022-04-13T19:47:00+00:00","General/Unknown","Staging"
"i-047dbab75f6716d09","EC2","t2.medium","stopped","windows","10.2.1.168","None","us-east-1","2022-11-25T16:19:35+00:00","General/Unknown","Staging"
"i-0490009a252a79db0","EC2","t3a.medium","stopped","Linux","10.2.0.243","None","us-east-1","2024-04-29T15:22:43+00:00","General/Unknown","Staging"
"i-020fc76b27bc2729e","EC2","t3.medium","running","windows","10.2.1.246","None","us-east-1","2024-02-02T18:01:13+00:00","General/Unknown","Staging"
"i-00053af887e6eb4d6","EC2","t2.micro","running","windows","10.2.1.226","None","us-east-1","2024-02-08T09:24:46+00:00","General/Unknown","Staging"
"i-09305503247b3b2eb","EC2","t3.medium","stopped","windows","10.2.0.201","None","us-east-1","2024-02-27T23:12:18+00:00","General/Unknown","Staging"
"i-0e67a8be33d600e3c","EC2","m7i-flex.xlarge","stopped","windows","10.2.0.188","None","us-east-1","2024-02-29T15:03:07+00:00","General/Unknown","Staging"
"i-0cf6e6a70c40a6a21","EC2","m3.medium","stopped","Linux","10.2.1.197","None","us-east-1","2024-05-13T21:57:59+00:00","General/Unknown","Staging"
"i-09abb9e2cfa017272","EC2","t2.medium","running","windows","10.2.1.146","107.20.31.185","us-east-1","2024-11-05T18:58:10+00:00","General/Unknown","Staging"
"i-00823396f38206fdb","EC2","t2.medium","running","windows","10.2.2.119","54.160.84.106","us-east-1","2025-10-31T18:01:53+00:00","General/Unknown","Staging"
"i-09c5f37643e036865","EC2","t2.large","stopped","Linux","10.120.0.188","None","us-east-2","2023-05-23T19:36:29+00:00","General/Unknown","Staging"
"i-05e80ed206905b62f","EC2","t2.large","stopped","Linux","10.120.3.24","None","us-east-2","2023-01-17T23:34:18+00:00","General/Unknown","Staging"
"i-02904074725f14fa6","EC2","t3.medium","stopped","Linux","10.120.1.67","None","us-east-2","2023-10-20T18:35:24+00:00","General/Unknown","Staging"
