"Name","Type","InstanceClass","Engine","Status","Storage","MultiAZ","Region","Application","Environment"
"staging-cluster","RDS","db.t4g.large","aurora-mysql","available","1 GB","False","us-east-1","General/Unknown","Staging"
"staging-cluster-us-east-1d","RDS","db.t4g.large","aurora-mysql","available","1 GB","False","us-east-1","General/Unknown","Staging"
"staging-db-macchiato","RDS","db.t3.small","mysql","available","25 GB","False","us-east-1","Macchiato","Staging"
"staging-db-mfa","RDS","db.t3.micro","mysql","available","25 GB","True","us-east-1","MFA","Staging"
"staging-replica-57","RDS","db.t3.medium","mysql","available","20 GB","False","us-east-1","Database Replica","Staging"
"staging-replica-8","RDS","db.t3.medium","mysql","available","20 GB","False","us-east-1","Database Replica","Staging"
"stagingdev-doppio-1-one","RDS","db.t4g.medium","aurora-mysql","available","1 GB","False","us-east-2","Doppio","Staging"
"stagingdev-doppio-1-two","RDS","db.t4g.medium","aurora-mysql","available","1 GB","False","us-east-2","Doppio","Staging"
"staging-database-test","RDS","db.t4g.large","aurora-mysql","available","1 GB","False","us-west-2","General/Unknown","Staging"
"staging-database-test-us-west2b","RDS","db.t4g.large","aurora-mysql","available","1 GB","False","us-west-2","General/Unknown","Staging"
