Account Number,Region,Instance ID,Instance Type,Instance State,Launch Time,Platform,Architecture,Virtualization Type,CPU Utilization (7d avg %),Recommendation Action,Recommended Instance Type,Recommendation Reason,AMI ID,AMI Name,AMI Description,AMI Creation Date,AMI Owner,AMI Platform,AMI Architecture,AMI Virtualization,AMI State,Application Name,VPC ID,Subnet ID,Availability Zone,Security Groups,Key Pair Name,Monitoring State,Instance Lifecycle,Spot Instance Request ID,Private IP Address,Public IP Address,EBS Optimized,Root Device Type,Root Device Name
013612877090,us-west-2,i-002071f300a0cd8e2,t3.xlarge,running,2025-04-25 16:47:06+00:00,Linux/Unix,x86_64,hvm,0.91,downgrade,t3.large,Low CPU utilization (0.91%) - downgrade to save costs,ami-0892d3c7ee96c0bf7,ubuntu/images/hvm-ssd/ubuntu-focal-20.04-amd64-server-20211129,"Canonical, Ubuntu, 20.04 LTS, amd64 focal image build on 2021-11-29",2021-11-30T00:33:38.000Z,099720109477,Linux/Unix,x86_64,hvm,available,Jenkins-master01,vpc-09eddf9011fb0fede,subnet-09160007f85c63da7,us-west-2a,Jekins-master01-sg,devops-jenkins-master,disabled,on-demand,N/A,10.0.2.116,54.191.112.15,True,ebs,/dev/sda1
013612877090,us-west-2,i-0ef44815c667c08ad,g5.xlarge,running,2025-08-22 01:50:24+00:00,Linux/Unix,x86_64,hvm,0.47,maintain,g5.xlarge,Current utilization is optimal,ami-0cf2b4e024cdb6960,ubuntu/images/hvm-ssd-gp3/ubuntu-noble-24.04-amd64-server-20240423,"Canonical, Ubuntu, 24.04 LTS, amd64 noble image build on 2024-04-23",2024-04-25T12:05:54.000Z,099720109477,Linux/Unix,x86_64,hvm,available,strong-analytics-ml,vpc-09eddf9011fb0fede,subnet-0752aad94d5808cec,us-west-2c,"ec2-rds-1, strong-analytics-sg",strong-analytics-keypair,disabled,on-demand,N/A,10.0.5.135,No Public IP,True,ebs,/dev/sda1
013612877090,us-west-2,i-0a1f0faaefc2131f6,g6e.4xlarge,running,2025-06-06 18:56:42+00:00,Linux/Unix,x86_64,hvm,0.55,maintain,g6e.4xlarge,Current utilization is optimal,ami-008a44a6f104a89ec,Deep Learning Base Proprietary Nvidia Driver GPU AMI (Ubuntu 20.04) 20240315,"Supported EC2 instances: P3*, G3*, G5*, G4dn. Release notes: Release notes: https://aws.amazon.com/releasenotes/aws-deep-learning-base-gpu-ami-ubuntu-20-04/",2024-03-15T19:41:25.000Z,898082745236,Linux/Unix,x86_64,hvm,available,strong-analytics-deep-learning-base,vpc-09eddf9011fb0fede,subnet-0752aad94d5808cec,us-west-2c,strong-analytics-sg,strong-analytics-keypair,disabled,on-demand,N/A,10.0.5.224,No Public IP,True,ebs,/dev/sda1
013612877090,us-west-2,i-00d00c0519c30ed01,m7a.large,running,2025-02-26 04:29:22+00:00,windows,x86_64,hvm,0.68,maintain,m7a.large,Current utilization is optimal,ami-0d46f500ce5f2be3e,AMI not found,AMI may have been deleted,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dev,vpc-09eddf9011fb0fede,subnet-0ad019f72ebfe75c2,us-west-2c,dev-muhimbi-Security-Group,cortado-dev,disabled,on-demand,N/A,10.0.41.21,18.237.212.77,False,ebs,/dev/sda1
013612877090,us-west-2,i-03cd531043a18893e,t2.large,running,2025-04-16 00:17:19+00:00,Linux/Unix,x86_64,hvm,2.22,modernize,t3a.large,Legacy instance family - upgrade to t3a for better performance and cost,ami-0b6d6dacf350ebc82,al2023-ami-2023.6.20250303.0-kernel-6.1-x86_64,Amazon Linux 2023 AMI 2023.6.20250303.0 x86_64 HVM kernel-6.1,2025-03-04T00:50:09.000Z,137112412989,Linux/Unix,x86_64,hvm,available,GitHub-Actions-Runner,vpc-09eddf9011fb0fede,subnet-0c02f0d00a645a8d6,us-west-2a,github-runner-sg,github-runner,disabled,on-demand,N/A,10.0.21.6,52.13.47.102,False,ebs,/dev/xvda
013612877090,us-west-2,i-0717182f7de8912b4,m7a.large,running,2025-02-26 04:29:22+00:00,windows,x86_64,hvm,0.65,maintain,m7a.large,Current utilization is optimal,ami-0d46f500ce5f2be3e,AMI not found,AMI may have been deleted,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dev,vpc-09eddf9011fb0fede,subnet-0fc11c07e2d8a380a,us-west-2b,dev-muhimbi-Security-Group,cortado-dev,disabled,on-demand,N/A,10.0.3.54,34.220.151.25,False,ebs,/dev/sda1
013612877090,us-west-2,i-08045589f7b626db4,t3.xlarge,running,2025-03-13 19:11:28+00:00,Linux/Unix,x86_64,hvm,3.95,downgrade,t3.large,Low CPU utilization (3.95%) - downgrade to save costs,ami-0b6d6dacf350ebc82,al2023-ami-2023.6.20250303.0-kernel-6.1-x86_64,Amazon Linux 2023 AMI 2023.6.20250303.0 x86_64 HVM kernel-6.1,2025-03-04T00:50:09.000Z,137112412989,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-092628756628cd745,us-west-2d,insight_IDR_Rapid7,InsightIDR_Rapid7,disabled,on-demand,N/A,10.0.7.36,No Public IP,True,ebs,/dev/xvda
013612877090,us-west-2,i-0240c9bbaa797b29f,t3.small,running,2025-06-12 05:00:23+00:00,Linux/Unix,x86_64,hvm,0.75,downgrade,t3.micro,Low CPU utilization (0.75%) - downgrade to save costs,ami-0775c09d015da3f73,debian-12-amd64-20250530-2128,Debian 12 (20250530-2128),2025-05-30T15:05:43.000Z,136693071363,Linux/Unix,x86_64,hvm,available,dev-dealdashboard-250612,vpc-09eddf9011fb0fede,subnet-0ad019f72ebfe75c2,us-west-2c,dev-dealdashboard-ec2-sg,ansible-aws,disabled,on-demand,N/A,10.0.45.155,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-068a3474fe3f77083,m5.4xlarge,running,2025-11-10 20:02:26+00:00,Linux/Unix,x86_64,hvm,4.05,downgrade,m5.2xlarge,Low CPU utilization (4.05%) - downgrade to save costs,ami-0775c09d015da3f73,debian-12-amd64-20250530-2128,Debian 12 (20250530-2128),2025-05-30T15:05:43.000Z,136693071363,Linux/Unix,x86_64,hvm,available,dev,vpc-09eddf9011fb0fede,subnet-0ad019f72ebfe75c2,us-west-2c,dev-ods-ec2-sg,ansible-aws,disabled,on-demand,N/A,10.0.45.167,No Public IP,True,ebs,/dev/xvda
013612877090,us-west-2,i-01e05ac27ea534446,m5.4xlarge,running,2025-11-06 20:49:55+00:00,Linux/Unix,x86_64,hvm,0.06,downgrade,m5.2xlarge,Low CPU utilization (0.06%) - downgrade to save costs,ami-085805cc0c5e13b11,debian-12-amd64-20251006-2257,Debian 12 (20251006-2257),2025-10-06T14:47:11.000Z,136693071363,Linux/Unix,x86_64,hvm,available,dev,vpc-09eddf9011fb0fede,subnet-0ad019f72ebfe75c2,us-west-2c,dev-ods-ec2-sg,ansible-aws,disabled,on-demand,N/A,10.0.40.125,No Public IP,False,ebs,/dev/xvda
