account_id,region,instance_id,instance_name,environment,state,platform,instance_type,instance_family,vcpu_count,cpu_architecture,launch_time,days_since_launch,root_volume_size_gb,root_volume_type,has_instance_store,private_ips,public_ip,subnet_id,vpc_id,security_group_ids,autoscaling_group_name,avg_cpu_30d,cpu_data_points_count_30d,purchase_option,rightsizing_action,recommended_instance_type,recommendation_reason
015815251546,us-west-2,i-0b247eb5fc04944e3,chmigration,Prod,stopped,Linux/Unix,t2.medium,t2,2,x86_64,2023-12-13 02:27:29,722,25,gp3,No,10.3.2.156,,subnet-07a94fcb07285b09b,vpc-0b045a37ce0d8209a,sg-0f56eaddc1ef40140,,,0,OnDemand,NoData,t2.medium,Insufficient CloudWatch data
015815251546,us-west-2,i-04d511a0c8d01d5cd,bgreen-dev,Prod,stopped,Linux/Unix,t3.large,t3,2,x86_64,2024-09-27 00:15:56,433,8,gp2,No,10.3.1.55,,subnet-08dbd709f10b8b3a7,vpc-0b045a37ce0d8209a,sg-0cd89c5e34742b86d,,,0,OnDemand,NoData,t3.large,Insufficient CloudWatch data
015815251546,us-west-2,i-0efe0d80326bc975a,prod-ods-250612,Prod,running,Linux/Unix,c7i-flex.8xlarge,c7i-flex,32,x86_64,2025-11-01 00:43:06,33,8,gp3,No,10.3.44.4,,subnet-04c7806de3a0a56a8,vpc-0b045a37ce0d8209a,sg-004da90c7a72525b9,,2.82,721,OnDemand,Downsize,c7i-flex.8xlarge,Low CPU (2.8%) but no smaller type available
015815251546,us-west-2,i-012fb33e9e562c720,prod-dealdashboard-250612,Prod,running,Linux/Unix,t3.xlarge,t3,4,x86_64,2025-09-28 14:55:43,67,100,gp3,No,10.3.45.4,,subnet-04c7806de3a0a56a8,vpc-0b045a37ce0d8209a,sg-0f5254d89a4ab6e7d,,3.32,721,OnDemand,Downsize,t3.large,Low CPU utilization (3.3%)
015815251546,us-west-2,i-0cd81e287b076d11f,prod-pup-250929,Prod,running,Linux/Unix,t3.small,t3,2,x86_64,2025-09-29 17:39:45,66,100,gp3,No,10.3.40.134,,subnet-04c7806de3a0a56a8,vpc-0b045a37ce0d8209a,sg-0fca91ff94099cfc7,,0.74,721,OnDemand,Downsize,t3.micro,Low CPU utilization (0.7%)
015815251546,us-west-2,i-0eda689e57b82505a,,Prod,running,Linux/Unix,t3.xlarge,t3,4,x86_64,2025-11-26 18:09:58,8,20,gp2,No,"10.3.41.138,10.3.46.129,10.3.40.233",,subnet-04c7806de3a0a56a8,vpc-0b045a37ce0d8209a,"sg-0e9f7f85562c65232,sg-049d38ca6c81c6163",eks-prod-nodes-21-t3-xlarge-eeca8fdf-46dd-34be-b68b-ffc78390fe3f,11.02,195,OnDemand,Downsize,t3.large,Low CPU utilization (11.0%)
015815251546,us-west-2,i-090a0e09659cc9c8e,,Prod,running,Linux/Unix,t3.xlarge,t3,4,x86_64,2025-11-26 18:54:24,8,20,gp2,No,"10.3.40.164,10.3.41.15",,subnet-04c7806de3a0a56a8,vpc-0b045a37ce0d8209a,"sg-0e9f7f85562c65232,sg-049d38ca6c81c6163",eks-prod-nodes-21-t3-xlarge-eeca8fdf-46dd-34be-b68b-ffc78390fe3f,6.67,194,OnDemand,Downsize,t3.large,Low CPU utilization (6.7%)
015815251546,us-west-2,i-0c311c03040874b2a,prod-muhimbi-node-1,Prod,running,windows,c3.xlarge,c3,4,x86_64,2025-09-25 02:49:58,70,75,gp2,No,10.3.24.38,52.12.112.161,subnet-067067da130c8ddf8,vpc-0b045a37ce0d8209a,sg-0182f8319f9593a4a,,0.40,721,OnDemand,Downsize,c3.xlarge,Low CPU (0.4%) but no smaller type available
015815251546,us-west-2,i-09e771a492ee7b083,prod-muhimbi-node-0,Prod,running,windows,c3.xlarge,c3,4,x86_64,2025-09-25 02:49:58,70,75,gp2,No,10.3.13.98,34.216.180.132,subnet-0ea49af329a23159c,vpc-0b045a37ce0d8209a,sg-0182f8319f9593a4a,,0.41,721,OnDemand,Downsize,c3.xlarge,Low CPU (0.4%) but no smaller type available
015815251546,us-west-2,i-067eb2e1210af5ad5,,Prod,running,Linux/Unix,t3.xlarge,t3,4,x86_64,2025-11-26 17:33:32,8,20,gp2,No,"10.3.27.194,10.3.26.199,10.3.29.103",,subnet-067067da130c8ddf8,vpc-0b045a37ce0d8209a,"sg-0e9f7f85562c65232,sg-049d38ca6c81c6163",eks-prod-nodes-21-t3-xlarge-eeca8fdf-46dd-34be-b68b-ffc78390fe3f,8.79,196,OnDemand,Downsize,t3.large,Low CPU utilization (8.8%)
015815251546,us-west-2,i-01f969271b616f6fc,,Prod,running,Linux/Unix,t3.xlarge,t3,4,x86_64,2025-11-26 18:03:00,8,20,gp2,No,"10.3.46.213,10.3.46.57,10.3.47.72",,subnet-04c7806de3a0a56a8,vpc-0b045a37ce0d8209a,"sg-0e9f7f85562c65232,sg-049d38ca6c81c6163",eks-prod-nodes-21-t3-xlarge-eeca8fdf-46dd-34be-b68b-ffc78390fe3f,9.06,195,OnDemand,Downsize,t3.large,Low CPU utilization (9.1%)
015815251546,us-west-2,i-0541059c73a9a2a7c,,Prod,running,Linux/Unix,t3.xlarge,t3,4,x86_64,2025-11-26 16:50:31,8,20,gp2,No,"10.3.41.61,10.3.41.62",,subnet-04c7806de3a0a56a8,vpc-0b045a37ce0d8209a,"sg-0e9f7f85562c65232,sg-049d38ca6c81c6163",eks-prod-nodes-21-t3-xlarge-eeca8fdf-46dd-34be-b68b-ffc78390fe3f,7.41,196,OnDemand,Downsize,t3.large,Low CPU utilization (7.4%)
015815251546,us-west-2,i-0de20046e4bd1947f,,Prod,running,Linux/Unix,t3.xlarge,t3,4,x86_64,2025-12-02 06:59:07,2,20,gp2,No,"10.3.40.119,10.3.45.106",,subnet-04c7806de3a0a56a8,vpc-0b045a37ce0d8209a,"sg-0e9f7f85562c65232,sg-049d38ca6c81c6163",eks-prod-nodes-21-t3-xlarge-eeca8fdf-46dd-34be-b68b-ffc78390fe3f,11.51,62,OnDemand,Downsize,t3.large,Low CPU utilization (11.5%)
015815251546,us-west-2,i-07634416c1173ecc3,,Prod,running,Linux/Unix,t3.xlarge,t3,4,x86_64,2025-11-26 16:59:06,8,20,gp2,No,"10.3.10.37,10.3.10.106,10.3.10.200",,subnet-0ea49af329a23159c,vpc-0b045a37ce0d8209a,"sg-0e9f7f85562c65232,sg-049d38ca6c81c6163",eks-prod-nodes-21-t3-xlarge-eeca8fdf-46dd-34be-b68b-ffc78390fe3f,13.68,196,OnDemand,Downsize,t3.large,Low CPU utilization (13.7%)
015815251546,us-west-2,i-089780871eec0062f,,Prod,running,Linux/Unix,t3.xlarge,t3,4,x86_64,2025-11-26 17:12:22,8,20,gp2,No,"10.3.13.182,10.3.9.72,10.3.9.187",,subnet-0ea49af329a23159c,vpc-0b045a37ce0d8209a,"sg-0e9f7f85562c65232,sg-049d38ca6c81c6163",eks-prod-nodes-21-t3-xlarge-eeca8fdf-46dd-34be-b68b-ffc78390fe3f,14.70,195,OnDemand,Downsize,t3.large,Low CPU utilization (14.7%)
015815251546,us-west-2,i-016cb37dcc444d6c8,,Prod,running,Linux/Unix,t3.xlarge,t3,4,x86_64,2025-11-26 16:48:22,8,20,gp2,No,"10.3.15.157,10.3.14.44,10.3.10.0",,subnet-0ea49af329a23159c,vpc-0b045a37ce0d8209a,"sg-0e9f7f85562c65232,sg-049d38ca6c81c6163",eks-prod-nodes-21-t3-xlarge-eeca8fdf-46dd-34be-b68b-ffc78390fe3f,7.50,196,OnDemand,Downsize,t3.large,Low CPU utilization (7.5%)
