AccountName,AccountId,Environment,Region,ResourceType,AllVolumeIds,AllocatedStorageGiB,CPUUtilizationPercent,DBInstanceArn,DBInstanceClass,DBInstanceIdentifier,DBInstanceStatus,Engine,EngineVersion,FreeStorageSpaceGiB,InstanceArn,InstanceId,InstanceType,LaunchTime,LaunchYear,MultiAZ,RDSCPUUtilizationPercent,RecommendedPurchaseOption,RecommendedRightSizeClass,RecommendedRightSizeType,RootVolumeId,StorageType,UptimeDays
AWS Development,013612877090,dev,us-west-2,EC2,vol-00853b0ad6fd9f11f,,0.9,,,,,,,,arn:aws:ec2:us-west-2:013612877090:instance/i-002071f300a0cd8e2,i-002071f300a0cd8e2,t3.xlarge,2025-04-25T16:47:06+00:00,2025,,,SavingsPlan,,t3.large,vol-00853b0ad6fd9f11f,,222
AWS Development,013612877090,dev,us-west-2,EC2,vol-053ffe219d4c473c5,,0.5,,,,,,,,arn:aws:ec2:us-west-2:013612877090:instance/i-0ef44815c667c08ad,i-0ef44815c667c08ad,g5.xlarge,2025-08-22T01:50:24+00:00,2025,,,SavingsPlan,,,vol-053ffe219d4c473c5,,104
AWS Development,013612877090,dev,us-west-2,EC2,vol-0b8803ba3517b5b62,,0.55,,,,,,,,arn:aws:ec2:us-west-2:013612877090:instance/i-0a1f0faaefc2131f6,i-0a1f0faaefc2131f6,g6e.4xlarge,2025-06-06T18:56:42+00:00,2025,,,SavingsPlan,,,vol-0b8803ba3517b5b62,,180
AWS Development,013612877090,dev,us-west-2,EC2,vol-06969e508837a20b6,,0.0,,,,,,,,arn:aws:ec2:us-west-2:013612877090:instance/i-0db3fcf4ec9d01faa,i-0db3fcf4ec9d01faa,t3.medium,2024-11-13T23:12:37+00:00,2024,,,OnDemand,,t3.small,vol-06969e508837a20b6,,385
AWS Development,013612877090,dev,us-west-2,EC2,vol-06a3da832b75d5dfd,,0.67,,,,,,,,arn:aws:ec2:us-west-2:013612877090:instance/i-00d00c0519c30ed01,i-00d00c0519c30ed01,m7a.large,2025-02-26T04:29:22+00:00,2025,,,SavingsPlan,,,vol-06a3da832b75d5dfd,,280
AWS Development,013612877090,dev,us-west-2,EC2,vol-0e569133f568c32a9,,2.21,,,,,,,,arn:aws:ec2:us-west-2:013612877090:instance/i-03cd531043a18893e,i-03cd531043a18893e,t2.large,2025-04-16T00:17:19+00:00,2025,,,SavingsPlan,,t2.medium,vol-0e569133f568c32a9,,232
AWS Development,013612877090,dev,us-west-2,EC2,vol-0aa29d3a147041789,,0.64,,,,,,,,arn:aws:ec2:us-west-2:013612877090:instance/i-0717182f7de8912b4,i-0717182f7de8912b4,m7a.large,2025-02-26T04:29:22+00:00,2025,,,SavingsPlan,,,vol-0aa29d3a147041789,,280
AWS Development,013612877090,dev,us-west-2,EC2,vol-07bcf517b7da8748f,,3.68,,,,,,,,arn:aws:ec2:us-west-2:013612877090:instance/i-08045589f7b626db4,i-08045589f7b626db4,t3.xlarge,2025-03-13T19:11:28+00:00,2025,,,SavingsPlan,,t3.large,vol-07bcf517b7da8748f,,265
AWS Development,013612877090,dev,us-west-2,EC2,vol-0de4c0990efe883c2,,0.83,,,,,,,,arn:aws:ec2:us-west-2:013612877090:instance/i-0240c9bbaa797b29f,i-0240c9bbaa797b29f,t3.small,2025-06-12T05:00:23+00:00,2025,,,SavingsPlan,,t3.micro,vol-0de4c0990efe883c2,,174
AWS Development,013612877090,dev,us-west-2,EC2,vol-02f00a480137c70ca,,9.98,,,,,,,,arn:aws:ec2:us-west-2:013612877090:instance/i-068a3474fe3f77083,i-068a3474fe3f77083,m5.4xlarge,2025-11-10T20:02:26+00:00,2025,,,OnDemand,,m5.2xlarge,vol-02f00a480137c70ca,,23
