AccountName,AccountId,Environment,Region,ResourceType,AllVolumeIds,AllocatedStorageGiB,CPUUtilizationPercent,DBInstanceArn,DBInstanceClass,DBInstanceIdentifier,DBInstanceStatus,Engine,EngineVersion,FreeStorageSpaceGiB,InstanceArn,InstanceId,InstanceType,LaunchTime,LaunchYear,MultiAZ,RDSCPUUtilizationPercent,RecommendedPurchaseOption,RecommendedRightSizeClass,RecommendedRightSizeType,RootVolumeId,StorageType,UptimeDays
Charles Mount,198161015548,ops,us-east-1,EC2,"vol-8a0e98cf,vol-ed0e98a8,vol-440f9901",,0.0,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-a409368e,i-a409368e,c3.xlarge,2021-06-04T23:51:24+00:00,2021,,,OnDemand,,,vol-8a0e98cf,,1643
Charles Mount,198161015548,ops,us-east-1,EC2,"vol-72f16337,vol-6ef1632b",,3.06,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-a12f2a8b,i-a12f2a8b,m3.xlarge,2023-09-21T19:46:34+00:00,2023,,,SavingsPlan,,,vol-72f16337,,804
Charles Mount,198161015548,production,us-east-1,EC2,vol-87f5ffcf,,1.06,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-85cebc6f,i-85cebc6f,m3.medium,2025-02-06T19:34:30+00:00,2025,,,SavingsPlan,,,vol-87f5ffcf,,300
Charles Mount,198161015548,prod-finance,us-east-1,EC2,vol-ea1dbcae,,3.41,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-5b08ffb7,i-5b08ffb7,t2.micro,2017-05-26T16:52:42+00:00,2017,,,SavingsPlan,,t2.nano,vol-ea1dbcae,,3113
Charles Mount,198161015548,production,us-east-1,EC2,vol-2cffc863,,1.07,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-4d83e062,i-4d83e062,m3.medium,2025-09-12T20:41:48+00:00,2025,,,SavingsPlan,,,vol-2cffc863,,82
Charles Mount,198161015548,prod-finance,us-east-1,EC2,vol-dc81fcaa,,0.0,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-52cfda7c,i-52cfda7c,c3.xlarge,2021-10-14T20:18:26+00:00,2021,,,OnDemand,,,vol-dc81fcaa,,1511
Charles Mount,198161015548,production,us-east-1,EC2,"vol-72e4d2bb,vol-7eb4b9f0",,11.35,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-d75fe03e,i-d75fe03e,m4.2xlarge,2017-08-10T04:05:04+00:00,2017,,,SavingsPlan,,,vol-72e4d2bb,,3038
Charles Mount,198161015548,production,us-east-1,EC2,"vol-e5d8ee2c,vol-0baf647b19bccf1af",,0.52,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-5141feb8,i-5141feb8,m4.large,2023-09-13T22:03:57+00:00,2023,,,SavingsPlan,,,vol-e5d8ee2c,,812
Charles Mount,198161015548,production,us-east-1,EC2,vol-721b1ebb,,3.19,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-27e568ce,i-27e568ce,c4.large,2023-04-19T06:19:49+00:00,2023,,,SavingsPlan,,,vol-721b1ebb,,959
Charles Mount,198161015548,production,us-east-1,EC2,vol-3b1aeef3,,15.86,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-9da1e574,i-9da1e574,m4.xlarge,2018-04-11T02:30:49+00:00,2018,,,SavingsPlan,,,vol-3b1aeef3,,2794
Charles Mount,198161015548,production,us-east-1,EC2,"vol-a1bd7969,vol-5bc10593",,8.33,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-a9752240,i-a9752240,m3.xlarge,2023-09-14T22:04:17+00:00,2023,,,SavingsPlan,,,vol-a1bd7969,,811
Charles Mount,198161015548,ops,us-east-1,EC2,"vol-8e259a96,vol-96259a8e",,3.14,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-9ab42e7b,i-9ab42e7b,m3.xlarge,2023-04-03T15:33:05+00:00,2023,,,SavingsPlan,,,vol-8e259a96,,975
Charles Mount,198161015548,staging,us-east-1,EC2,"vol-9e5c2570,vol-06b1b51de0a896a05",,6.23,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-19859fc9,i-19859fc9,m3.medium,2025-12-02T18:21:40+00:00,2025,,,OnDemand,,,vol-9e5c2570,,1
Charles Mount,198161015548,staging,us-east-1,EC2,vol-9c5c2572,,3.24,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-9e859f4e,i-9e859f4e,t2.micro,2017-05-30T16:54:37+00:00,2017,,,SavingsPlan,,t2.nano,vol-9c5c2572,,3109
Charles Mount,198161015548,production,us-east-1,EC2,"vol-b7c4c759,vol-09f5796cb7377c942",,0.19,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-0d6e0ade,i-0d6e0ade,m4.2xlarge,2022-03-11T22:36:35+00:00,2022,,,SavingsPlan,,,vol-b7c4c759,,1363
Charles Mount,198161015548,staging,us-east-1,EC2,vol-04f464e5,,3.83,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-060794d4,i-060794d4,m3.medium,2023-02-12T17:29:35+00:00,2023,,,SavingsPlan,,,vol-04f464e5,,1025
Charles Mount,198161015548,production,us-east-1,EC2,vol-89ec0d69,,16.54,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-6545ccb0,i-6545ccb0,m4.xlarge,2022-04-19T00:11:17+00:00,2022,,,SavingsPlan,,,vol-89ec0d69,,1325
Charles Mount,198161015548,staging,us-east-1,EC2,vol-b7cd3257,,2.91,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-42700397,i-42700397,m4.large,2022-04-20T19:00:31+00:00,2022,,,SavingsPlan,,,vol-b7cd3257,,1323
Charles Mount,198161015548,staging,us-east-1,EC2,vol-a3cf0343,,2.96,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-a915407c,i-a915407c,t2.medium,2017-08-10T18:10:57+00:00,2017,,,SavingsPlan,,t2.small,vol-a3cf0343,,3037
Charles Mount,198161015548,staging,us-east-1,EC2,vol-5971d4b9,,3.11,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-efc4fb3a,i-efc4fb3a,t2.micro,2017-05-26T16:47:46+00:00,2017,,,SavingsPlan,,t2.nano,vol-5971d4b9,,3113
Charles Mount,198161015548,production,us-east-1,EC2,vol-c7852427,,0.68,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-8bc9cd5e,i-8bc9cd5e,c4.large,2018-04-11T02:20:30+00:00,2018,,,SavingsPlan,,,vol-c7852427,,2794
Charles Mount,198161015548,production,us-east-1,EC2,"vol-2e52fdce,vol-bb39dc14",,2.08,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-d87e770d,i-d87e770d,c4.4xlarge,2022-09-29T19:02:23+00:00,2022,,,SavingsPlan,,,vol-2e52fdce,,1161
Charles Mount,198161015548,production,us-east-1,EC2,"vol-5652fdb6,vol-be39dc11",,2.5,,,,,,,,arn:aws:ec2:us-east-1:198161015548:instance/i-2c7f76f9,i-2c7f76f9,c4.4xlarge,2022-09-29T18:57:04+00:00,2022,,,SavingsPlan,,,vol-5652fdb6,,1161
