AccountName,AccountId,Environment,Region,VolumeId,VolumeType,SizeGiB,Encrypted,Iops,Throughput,State,IsUnattached,AttachedInstanceId,AttachedInstanceType,AttachedInstanceArn,AttachedInstanceLaunchTime,IsRootVolume
AWS Development,013612877090,dev,us-west-2,vol-06d7d4a177af9bea5,gp2,20,True,100,,in-use,False,i-0803868d940b37473,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0803868d940b37473,2025-12-03T18:31:50+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0c19bd32986f09068,gp2,2,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-0dbf1bbe34cf13bf5,gp2,8,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-00c45d0997a9ca48f,gp2,20,True,100,,in-use,False,i-0c5e8499f4befd2b5,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0c5e8499f4befd2b5,2025-12-04T03:30:15+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0b89082e0d74a95ec,gp2,50,True,150,,in-use,False,i-08fb662b4dd58452a,m5.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-08fb662b4dd58452a,2025-12-03T13:08:02+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0d5d91ec7cbe6ab25,gp2,20,True,100,,in-use,False,i-0b5e05ca289d955f1,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0b5e05ca289d955f1,2025-12-02T19:00:43+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-04e6f5eafe90f267a,gp2,20,True,100,,in-use,False,i-0eeee7d4c04e088b3,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0eeee7d4c04e088b3,2025-12-02T17:47:16+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-08d07ffc329c3320b,gp2,50,True,150,,in-use,False,i-05b5145ba588a7324,m5.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-05b5145ba588a7324,2025-12-03T13:47:59+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0655e87ca0afed986,gp2,8,True,100,,in-use,False,i-0a6bef6dec9e63935,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0a6bef6dec9e63935,2025-12-03T18:00:16+00:00,False
AWS Development,013612877090,dev,us-west-2,vol-042e74db348487f8f,gp2,20,True,100,,in-use,False,i-0ea870f10715452ca,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0ea870f10715452ca,2025-12-03T09:17:42+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0c4f6e5912fd14de1,gp2,30,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-063aacda7bc73ace2,gp2,2,True,100,,available,True,,,,,False
