AccountName,AccountId,Environment,Region,VolumeId,VolumeType,SizeGiB,Encrypted,Iops,Throughput,State,IsUnattached,AttachedInstanceId,AttachedInstanceType,AttachedInstanceArn,AttachedInstanceLaunchTime,IsRootVolume
Charles Mount,198161015548,prod-finance,us-east-1,vol-72f16337,gp3,100,False,3000,125,in-use,False,i-a12f2a8b,m3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-a12f2a8b,2023-09-21T19:46:34+00:00,True
Charles Mount,198161015548,ops,us-east-1,vol-e8c4b804,gp3,100,False,3000,125,in-use,False,i-be4f7601,c4.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-be4f7601,2021-08-02T16:44:29+00:00,True
Charles Mount,198161015548,Ops,us-east-1,vol-0abe524a044941b91,gp3,20,True,3000,125,in-use,False,i-029c9d615067b36c1,t3.large,arn:aws:ec2:us-east-1:198161015548:instance/i-029c9d615067b36c1,2021-05-03T21:33:35+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-76193bde,gp3,50,False,3000,125,in-use,False,i-15c46892,t3.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-15c46892,2023-02-01T02:49:18+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-0d3c148f3dc6b3e6e,gp3,30,False,3000,125,in-use,False,i-09305503247b3b2eb,t3.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-09305503247b3b2eb,2024-02-27T23:12:18+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-eb9db643,gp3,50,False,3000,125,in-use,False,i-89f05a0e,m3.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-89f05a0e,2023-09-05T17:58:50+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-e5f7450a,gp3,100,False,3000,125,in-use,False,i-0f755cb1,c3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-0f755cb1,2015-12-01T20:27:30+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-06c6783e16745168e,gp2,30,False,100,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-00db2aa47a7d9c778,gp3,100,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0020d0cd8a81b98b7,gp3,30,False,3000,125,in-use,False,i-01008e20280904c67,r5a.large,arn:aws:ec2:us-east-1:198161015548:instance/i-01008e20280904c67,2024-05-06T20:18:24+00:00,True
