account_id,region,db_instance_identifier,db_name,engine,engine_version,db_instance_class,instance_family,multi_az,storage_type,allocated_storage_gb,max_allocated_storage_gb,storage_encrypted,kms_key_id,publicly_accessible,vpc_id,subnet_group_name,environment,application_name,avg_cpu_30d,avg_freeable_memory_30d_mb,avg_free_storage_gb,instance_create_time,days_since_create,backup_retention_period,latest_restorable_time,rightsizing_action,recommended_instance_class,recommendation_reason,storage_recommendation
013612877090,us-west-2,adel-test-rds,,postgres,17.4,db.t3.medium,db.t3,No,gp2,50,0,No,,No,vpc-67d9ba1f,default,Prod,Unknown,3.72,2997.28,46.31,2025-08-06 22:19:29,119,7,2025-12-04 19:19:32+00:00,Downsize,db.t3.small,Low CPU utilization (3.7%),Consider converting gp2→gp3
013612877090,us-west-2,apo-prod,,postgres,15.12,db.t3.micro,db.t3,No,gp2,20,0,Yes,arn:aws:kms:us-west-2:013612877090:key/e81f4d4f-87ea-4c2a-9a56-a335e17793db,No,vpc-09eddf9011fb0fede,db-subnet-group-dev,Prod,Unknown,3.25,179.82,16.98,2023-11-01 20:15:49,763,1,2025-12-04 19:19:31+00:00,Keep,db.t3.micro,Low CPU (3.2%) but already smallest type,Consider converting gp2→gp3
013612877090,us-west-2,appsec,,postgres,17.4,db.t4g.micro,db.t4g,No,gp2,20,1000,Yes,arn:aws:kms:us-west-2:013612877090:key/e81f4d4f-87ea-4c2a-9a56-a335e17793db,No,vpc-09eddf9011fb0fede,aurora-private-subnet-group,Prod,Unknown,3.26,217.32,17.08,2025-06-26 16:41:49,161,1,2025-12-04 19:19:32+00:00,Downsize,db.t4g.micro,Low CPU (3.3%) but no smaller type available,Consider converting gp2→gp3
013612877090,us-west-2,bpowell,,postgres,14.17,db.t4g.medium,db.t4g,No,gp2,500,1000,Yes,arn:aws:kms:us-west-2:013612877090:key/e81f4d4f-87ea-4c2a-9a56-a335e17793db,No,vpc-09eddf9011fb0fede,db-subnet-group-dev,Prod,Unknown,4.77,2073.43,275.40,2023-04-27 00:20:57,952,7,2025-12-04 19:19:32+00:00,Downsize,db.t4g.medium,Low CPU (4.8%) but no smaller type available,Consider converting gp2→gp3
013612877090,us-west-2,clearhouse,,mariadb,10.11.13,db.t3.small,db.t3,Yes,gp3,250,1000,Yes,arn:aws:kms:us-west-2:013612877090:key/e81f4d4f-87ea-4c2a-9a56-a335e17793db,No,vpc-09eddf9011fb0fede,db-subnet-group-dev,NonProd,Unknown,2.95,1078.25,240.99,2022-09-20 18:01:21,1171,1,2025-12-04 19:20:00+00:00,Downsize,db.t3.micro,Low CPU utilization (3.0%),
013612877090,us-west-2,cortado-dev,,mysql,8.0.42,db.m5.large,db.m5,Yes,gp2,200,0,No,,No,vpc-09eddf9011fb0fede,cortado-dev-db-subnet-group,Prod,Unknown,2.54,6173.17,191.56,2024-11-19 00:36:50,380,35,2025-12-04 19:20:00+00:00,Keep,db.m5.large,Low CPU (2.5%) but already smallest type,Consider converting gp2→gp3
013612877090,us-west-2,domain-services,,aurora-postgresql,15.12,db.serverless,db,No,aurora,1,0,Yes,arn:aws:kms:us-west-2:013612877090:key/e81f4d4f-87ea-4c2a-9a56-a335e17793db,No,vpc-09eddf9011fb0fede,aurora-public-subnet-group,NonProd,Unknown,2.83,171828.88,,2024-06-03 19:24:45,549,5,,Downsize,db.serverless,Low CPU (2.8%) but no smaller type available,
013612877090,us-west-2,dts-marketstandard-quicksight,,postgres,13.20,db.t3.micro,db.t3,No,gp2,20,1000,No,,No,vpc-67d9ba1f,default,Prod,Unknown,4.27,224.72,17.05,2022-09-23 18:22:15,1168,7,2025-12-04 19:19:31+00:00,Keep,db.t3.micro,Low CPU (4.3%) but already smallest type,Consider converting gp2→gp3
013612877090,us-west-2,intappactlog,intappactlog,aurora-postgresql,15.12,db.serverless,db,No,aurora,1,0,Yes,arn:aws:kms:us-west-2:013612877090:key/e81f4d4f-87ea-4c2a-9a56-a335e17793db,No,vpc-09eddf9011fb0fede,intappactlog-public-subnet-group,NonProd,Unknown,13.23,6365.35,,2025-08-14 15:59:14,112,5,,Downsize,db.serverless,Low CPU (13.2%) but no smaller type available,
013612877090,us-west-2,intctrl,,postgres,14.17,db.t3.large,db.t3,Yes,gp3,250,0,Yes,arn:aws:kms:us-west-2:013612877090:key/e81f4d4f-87ea-4c2a-9a56-a335e17793db,No,vpc-09eddf9011fb0fede,public-db-subnet-group-dev,NonProd,Unknown,5.05,4885.66,241.12,2022-10-14 18:50:49,1147,1,2025-12-04 19:19:30+00:00,Downsize,db.t3.medium,Low CPU utilization (5.1%),
